# phi,psi,free_energy_kJ_per_mol
1.832595714594045688e+00,-2.007128639793479330e+00,5.611094108257084656e+01
2.007128639793478886e+00,-2.007128639793479330e+00,6.503432096061118273e+01
2.181661564992912083e+00,-2.007128639793479330e+00,7.068327990044258513e+01
2.356194490192344837e+00,-2.007128639793479330e+00,7.181907577807592702e+01
2.530727415391777591e+00,-2.007128639793479330e+00,6.899762059735054720e+01
2.705260340591210344e+00,-2.007128639793479330e+00,6.265219055582699070e+01
2.879793265790643542e+00,-2.007128639793479330e+00,5.360887286483543335e+01
3.054326190990076739e+00,-2.007128639793479330e+00,4.426838340415186224e+01
-3.054326190990076739e+00,-1.832595714594046132e+00,3.494027232031960040e+01
-2.879793265790643986e+00,-1.832595714594046132e+00,2.806949548596752209e+01
-2.705260340591210788e+00,-1.832595714594046132e+00,2.380949465053753045e+01
-2.530727415391777591e+00,-1.832595714594046132e+00,2.137974942045527627e+01
-2.356194490192344837e+00,-1.832595714594046132e+00,2.075856208963650573e+01
-2.181661564992912083e+00,-1.832595714594046132e+00,2.093201627516708641e+01
-2.007128639793479330e+00,-1.832595714594046132e+00,2.110288269265368299e+01
-1.832595714594046132e+00,-1.832595714594046132e+00,2.099733725793071670e+01
-1.658062789394612935e+00,-1.832595714594046132e+00,2.119094291771923011e+01
-1.483529864195180181e+00,-1.832595714594046132e+00,2.168805556373857613e+01
-1.308996938995746984e+00,-1.832595714594046132e+00,2.326258301192655153e+01
-1.134464013796314230e+00,-1.832595714594046132e+00,2.645754562416715316e+01
-9.599310885968812546e-01,-1.832595714594046132e+00,3.117158775811919824e+01
-7.853981633974482790e-01,-1.832595714594046132e+00,3.602561163801333066e+01
-6.108652381980153034e-01,-1.832595714594046132e+00,3.940764524801414836e+01
-4.363323129985823279e-01,-1.832595714594046132e+00,4.132219352625869391e+01
-2.617993877991495744e-01,-1.832595714594046132e+00,4.077600819290097434e+01
-8.726646259971659880e-02,-1.832595714594046132e+00,3.856826437068090740e+01
8.726646259971637676e-02,-1.832595714594046132e+00,3.457950428524405595e+01
2.617993877991493523e-01,-1.832595714594046132e+00,3.014794883680926674e+01
4.363323129985823279e-01,-1.832595714594046132e+00,2.529826594241566440e+01
6.108652381980153034e-01,-1.832595714594046132e+00,2.125591614405097118e+01
7.853981633974482790e-01,-1.832595714594046132e+00,1.864037077399602893e+01
9.599310885968810325e-01,-1.832595714594046132e+00,1.825562720732587252e+01
1.134464013796313786e+00,-1.832595714594046132e+00,2.104841623231484604e+01
1.308996938995746984e+00,-1.832595714594046132e+00,2.697676720643909931e+01
1.483529864195180181e+00,-1.832595714594046132e+00,3.561010844788030738e+01
1.658062789394612935e+00,-1.832595714594046132e+00,4.551012326953865283e+01
1.832595714594045688e+00,-1.832595714594046132e+00,5.536455923352180264e+01
2.007128639793478886e+00,-1.832595714594046132e+00,6.442528429957592095e+01
