analysis,index,fraction,window_index,window_center_nm,raw_segment_frames,ar1_tau_frames,thinning_stride,thinned_frames,histogrammed_frames
cumulative,3,0.6,14,3.4,228000,7.287270371054612,8,28500,28500
cumulative,3,0.6,15,3.55,228000,7.280773199488776,8,28500,28500
cumulative,3,0.6,16,3.7,228000,7.340719853825291,8,28500,28500
cumulative,3,0.6,17,3.85,228000,7.333574634689392,8,28500,28500
cumulative,3,0.6,18,4.0,228000,7.370788680355896,8,28500,28500
cumulative,3,0.6,19,4.2,228000,7.36491721866072,8,28500,28500
cumulative,3,0.6,20,4.4,228000,7.355364874187874,8,28500,28500
cumulative,3,0.6,21,4.6,228000,7.355291533283829,8,28500,28500
cumulative,3,0.6,22,4.8,228000,7.351631138172077,8,28500,28500
cumulative,3,0.6,23,5.0,228000,7.352275488306591,8,28500,28500
cumulative,3,0.6,24,5.2,228000,7.3512883992708105,8,28500,28052
cumulative,3,0.6,25,5.4,228000,7.348797366819715,8,28500,17769
cumulative,4,0.8,1,1.45,304000,7.175879202554693,8,38000,36078
cumulative,4,0.8,2,1.6,304000,7.158158501332448,8,38000,38000
cumulative,4,0.8,3,1.75,304000,7.15989442269908,8,38000,38000
cumulative,4,0.8,4,1.9,304000,7.1728873081140865,8,38000,38000
cumulative,4,0.8,5,2.05,304000,7.178989495081421,8,38000,38000
cumulative,4,0.8,6,2.2,304000,7.274448850368547,8,38000,38000
cumulative,4,0.8,7,2.35,304000,7.2768280799575935,8,38000,38000
cumulative,4,0.8,8,2.5,304000,7.19136234119606,8,38000,38000
cumulative,4,0.8,9,2.65,304000,7.183848342014745,8,38000,38000
cumulative,4,0.8,10,2.8,304000,7.163954681262604,8,38000,38000
cumulative,4,0.8,11,2.95,304000,7.179234384514307,8,38000,38000
cumulative,4,0.8,12,3.1,304000,7.27872383645733,8,38000,38000
cumulative,4,0.8,13,3.25,304000,7.292315268577844,8,38000,38000
cumulative,4,0.8,14,3.4,304000,7.282716973965842,8,38000,38000
cumulative,4,0.8,15,3.55,304000,7.278614732344233,8,38000,38000
cumulative,4,0.8,16,3.7,304000,7.341342382250533,8,38000,38000
cumulative,4,0.8,17,3.85,304000,7.33338057332769,8,38000,38000
cumulative,4,0.8,18,4.0,304000,7.371159389852874,8,38000,38000
cumulative,4,0.8,19,4.2,304000,7.362816444767802,8,38000,38000
cumulative,4,0.8,20,4.4,304000,7.354833848307431,8,38000,38000
cumulative,4,0.8,21,4.6,304000,7.357076244441737,8,38000,38000
cumulative,4,0.8,22,4.8,304000,7.352272905197703,8,38000,38000
cumulative,4,0.8,23,5.0,304000,7.35135575271214,8,38000,38000
cumulative,4,0.8,24,5.2,304000,7.350872962031817,8,38000,37468
cumulative,4,0.8,25,5.4,304000,7.34947975447625,8,38000,23957
cumulative,5,1.0,1,1.45,380001,7.176967041613534,8,47501,45016
cumulative,5,1.0,2,1.6,380001,7.155155819211022,8,47501,47501
cumulative,5,1.0,3,1.75,380001,7.164177286596217,8,47501,47501
cumulative,5,1.0,4,1.9,380001,7.170176270045142,8,47501,47501
cumulative,5,1.0,5,2.05,380001,7.1774550469116205,8,47501,47501
cumulative,5,1.0,6,2.2,380001,7.282691286094288,8,47501,47501
cumulative,5,1.0,7,2.35,380001,7.271872596327354,8,47501,47501
cumulative,5,1.0,8,2.5,380001,7.183686931782822,8,47501,47501
cumulative,5,1.0,9,2.65,380001,7.175812958736664,8,47501,47501
cumulative,5,1.0,10,2.8,380001,7.165136276858715,8,47501,47501
cumulative,5,1.0,11,2.95,380001,7.177843252731502,8,47501,47501
cumulative,5,1.0,12,3.1,380001,7.274603066693147,8,47501,47501
cumulative,5,1.0,13,3.25,380001,7.289148539756538,8,47501,47501
cumulative,5,1.0,14,3.4,380001,7.281309844074523,8,47501,47501
